index,address
улица,4835
квартал,2261
проезд,1674
мирзо,1230
улугбекский,1151
юнусабадский,1100
чиланзарский,970
шайхонтохурский,945
учтепинский,937
1,759
ulugbek,758
mirzo,758
махалля,737
яшнободский,714
мирабадский,675
2,652
массив,648
сергелийский,631
алмазарский,531
чилонзор,521
3,452
проспект,445
шайхантахурский,431
4,370
shaykhontohur,353
яккасарайский,335
,287
кафе,286
юнусабад,263
буз1,262
черданцева,262
чиланзар,258
йули,253
школа,233
5,216
сергели,209
тупик,207
актепе,193
ипак,190
бектемирский,187
авиасозлар,187
буюк,186
7,166
куйлюк,156
кукча,147
детский,145
6,144
сад,140
центр,136
каракамыш,134
домбрабад,130
тезиковка,128
биродарлик,128
спутник,124
джарарык,123
абдулла,120
янги,118
8,117
карасу,116
бешкаирагач,116
банк,115
аклан,113
амир,110
темура,109
себзар,108
аптека,105
катта,104
урикзор,104
янгизамон,100
катартал,95
ц1,94
мустакиллик,89
лутфий,84
ц17|ц18,81
ракат,80
бодамзар,79
11,78
ттз,75
кодирий,75
9,73
тахтапуль,72
феруза,71
мукимий,70
клиника,69
мирабад,69
файзобод,69
караташ,68
хасанбай,66
дарвоза,65
отделение,65
камалан|янгикамалан,65
бекобод,65
ахмад,63
кизил,63
улугбека,63
ота,62
навои,62
минор,62
айбек,61
тинчлик,59
поликлиника,59
алмазар,58
ц6,58
чорсу,58
пахтакор,58
пулемас,57
кошкурган,56
ц22,55
коратош,55
хамза,55
фитрат,54
шахрисабз,54
абдурауф,54
ширин,53
шарк,52
октепа,52
дустлик,49
бобура,49
жангох,48
13,47
10,47
лабзак,47
нуравшан,47
19,47
почтовое,46
хирмонтепа,46
кольцевая,45
12,45
новое,45
буз,44
осиё,44
хадра,44
кумарык,44
ц5,43
отель,43
узгариш,43
фуркат,42
актепа,42
академгородок,42
киёт,42
ташкент,41
фархадская,41
23,41
бешкурган,41
филиал,40
самарканд,40
ц14,40
бодомзор,40
14,39
мевазар,39
20,38
чопонота,38
детсад,38
сайрам,38
22,38
панельный,38
ц4,37
каххар,37
25,36
чарх-камалон,36
кашгар,36
колледж,36
махтумкули,36
авиагородок,35
гулистон,35
дарбаза,35
азимова,35
хусан,35
байкаро,35
бешагач,34
кичик,34
дармон,34
рашидова,33
1|4,33
дори,33
хамида,33
чоштепа,33
беруний,32
миробад,32
ц,32
площадь,32
богишамол,31
завод,31
шарафа,31
эски,31
кипчак,31
посольство,31
сторона,31
путь,30
17,30
кушкурган,30
заргарлик,30
юнус,30
ленинский,30
чимбай,29
югнакий,29
хумаюн,29
дониш,29
15,29
фозилтепа,29
18,29
мед,29
саракульская,28
каримова,28
ташсельмаш,28
урда,28
миллий,28
нукус,28
паркент,28
ниёзбек,27
белтепа,27
мойкургон,27
zangiota,26
абу,26
ц7,26
кадышева,26
курилиш,25
26,25
бешкургон,25
курувчилар,25
западная,25
ресторан,24
ислам,24
северный,24
таомлар,24
